# Time (ms),Memory (Mb),CPU (%),Memory CI 95%, CPU CI 95%
0,225.29,2.00,2.02,2.02
100,239.59,83.77,10.55,10.55
200,257.78,110.37,2.90,2.90
300,275.60,108.37,1.72,1.72
400,292.12,109.03,2.24,2.24
500,308.01,109.03,2.90,2.90
600,323.77,105.70,3.59,3.59
700,338.49,108.37,2.52,2.52
800,352.66,106.38,3.01,3.01
900,366.51,108.37,3.12,3.12
1000,379.57,108.36,3.63,3.63
1100,392.37,105.04,2.53,2.53
1200,404.83,110.35,2.89,2.89
1300,417.19,109.03,2.90,2.90
1400,429.54,105.06,3.13,3.13
1500,441.70,108.37,3.62,3.62
1600,453.81,105.03,3.13,3.13
1700,465.50,111.69,3.30,3.30
1800,477.27,104.37,3.13,3.13
1900,488.89,107.03,3.89,3.89
2000,500.71,104.37,4.07,4.07
2100,511.97,109.69,3.19,3.19
2200,523.28,108.36,3.13,3.13
2300,534.85,105.70,3.59,3.59
2400,546.37,107.04,3.89,3.89
2500,557.59,108.37,3.62,3.62
2600,568.42,103.71,3.09,3.09
2700,579.59,109.71,3.21,3.21
2800,590.56,109.04,4.68,4.68
2900,601.77,105.72,3.08,3.08
3000,612.93,106.37,2.39,2.39
3100,624.45,104.37,2.52,2.52
3200,635.66,110.37,2.24,2.24
3300,646.67,105.70,3.59,3.59
3400,657.52,105.70,2.48,2.48
3500,668.28,108.36,3.12,3.12
3600,678.86,106.36,3.02,3.02
3700,689.53,105.71,2.48,2.48
3800,700.06,105.70,3.60,3.60
3900,710.65,109.03,2.23,2.23
4000,721.11,107.05,2.90,2.90
4100,731.57,106.37,3.53,3.53
4200,741.74,108.37,3.13,3.13
4300,751.93,105.04,3.63,3.63
4400,762.02,106.36,3.02,3.02
4500,772.00,108.36,2.52,2.52
4600,781.99,107.70,2.74,2.74
4700,792.24,105.03,3.13,3.13
4800,802.37,107.70,2.74,2.74
4900,812.63,103.05,2.38,2.38
5000,821.74,109.01,2.23,2.23
5100,822.70,110.36,3.44,3.44
5200,822.70,118.33,4.06,4.06
5300,822.70,113.68,3.08,3.08
5400,822.70,115.67,3.58,3.58
5500,822.70,117.01,3.43,3.43
5600,822.71,115.68,3.59,3.59
5700,822.83,114.37,2.52,2.52
5800,822.94,117.68,2.73,2.73
5900,823.15,114.35,3.12,3.12
6000,823.43,115.03,2.52,2.52
6100,823.80,114.35,3.62,3.62
6200,824.52,119.01,5.67,5.67
6300,826.10,113.03,2.38,2.38
6400,828.02,115.69,3.59,3.59
6500,829.83,114.35,3.12,3.12
6600,832.09,114.37,3.12,3.12
6700,834.63,110.37,2.90,2.90
6800,837.59,115.01,4.07,4.07
6900,840.03,113.69,2.47,2.47
7000,843.20,113.70,3.09,3.09
7100,845.44,113.01,3.53,3.53
7200,847.71,120.35,4.31,4.31
7300,850.68,111.02,1.71,1.71
7400,853.79,113.01,2.38,2.38
7500,856.83,111.02,3.12,3.12
7600,859.61,113.67,3.07,3.07
7700,862.25,113.70,3.09,3.09
7800,864.77,110.37,2.90,2.90
7900,867.03,115.01,4.06,4.06
8000,869.17,114.36,3.63,3.63
8100,871.21,113.69,3.09,3.09
8200,874.31,117.03,3.43,3.43
8300,878.35,112.37,3.43,3.43
8400,882.48,111.03,3.63,3.63
8500,886.79,113.69,2.48,2.48
8600,892.14,113.05,5.11,5.11
8700,897.43,110.37,3.90,3.90
8800,902.86,111.70,3.79,3.79
8900,908.46,113.70,3.09,3.09
9000,913.90,108.37,4.46,4.46
9100,918.53,113.03,3.99,3.99
9200,923.27,112.36,2.90,2.90
9300,929.01,110.39,3.89,3.89
9400,933.61,113.69,3.09,3.09
9500,937.67,111.68,2.74,2.74
9600,942.04,111.71,3.78,3.78
9700,946.55,113.04,3.53,3.53
9800,951.20,111.03,4.07,4.07
9900,955.40,115.02,3.12,3.12
10000,960.64,114.37,3.12,3.12
