# Time (ms),Memory (Mb),CPU (%)
0,226.27,0.00
100,226.47,2.00
200,226.47,2.00
300,226.47,2.00
400,226.47,0.67
500,226.47,0.67
600,226.47,2.00
700,226.47,2.00
800,226.47,2.67
900,226.47,2.67
1000,226.85,1.33
1100,226.85,1.33
1200,226.85,1.33
1300,226.85,2.67
1400,226.85,1.33
1500,226.85,0.67
1600,226.85,4.00
1700,226.85,1.33
1800,226.85,0.67
1900,227.20,1.33
2000,227.32,2.67
2100,227.32,0.67
2200,227.54,2.00
2300,227.57,4.67
2400,227.71,2.67
2500,227.83,1.33
2600,227.93,2.67
2700,228.07,1.33
2800,228.21,2.00
2900,228.29,2.00
3000,228.35,2.67
3100,228.48,2.67
3200,228.59,3.33
3300,228.59,0.67
3400,228.85,0.67
3500,228.93,2.00
3600,229.29,2.67
3700,229.29,1.33
3800,229.44,4.00
3900,229.55,1.33
4000,229.67,0.67
4100,229.78,2.67
4200,229.80,0.67
4300,230.01,2.67
4400,230.07,2.67
4500,230.19,2.67
4600,230.31,2.67
4700,230.31,2.67
4800,230.46,1.33
4900,230.59,2.67
5000,230.59,2.67
5100,230.73,2.00
5200,230.83,2.00
5300,230.95,0.67
5400,231.09,2.00
5500,231.09,2.67
5600,231.23,1.33
5700,231.36,1.33
5800,231.36,2.67
5900,231.49,4.00
6000,231.61,1.33
6100,231.61,2.00
6200,231.75,3.33
6300,231.87,1.33
6400,231.88,1.33
6500,232.07,2.67
6600,232.11,2.67
6700,232.21,1.33
6800,232.37,2.00
6900,232.39,0.67
7000,232.46,3.33
7100,232.62,2.00
7200,232.64,4.00
7300,232.78,2.00
7400,232.89,3.33
7500,232.89,0.00
7600,233.03,1.33
7700,233.16,0.67
7800,233.16,2.67
7900,233.29,2.00
8000,233.39,3.33
8100,233.41,1.33
8200,233.43,1.33
8300,233.56,0.67
8400,233.68,1.33
8500,233.68,4.00
8600,233.80,1.33
8700,233.92,4.00
8800,233.92,2.67
8900,233.96,0.67
9000,234.17,1.33
9100,234.19,1.33
9200,234.33,3.33
9300,234.45,1.33
9400,234.47,3.33
9500,234.66,1.33
9600,234.70,1.33
9700,234.83,0.67
9800,234.87,2.67
9900,234.97,3.33
10000,235.07,2.00
